"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i","zip_code_result","latitude","longitude","AnzahlSameSizeRadius0To10_i","AnzahlSameSizeRadius10To30_i","AnzahlSameSizeRadius30To60_i","hasPsychologicalPricing_i","log_price","logistic_costs","color","condition"
"Kinderfahrrad WOOM 2","4742 Pram","Zuletzt geändert:,06.07.2024, 12:01 Uhr","€ 370","Privatperson","Felgenbremse,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-woom-2-2137637544/",19,370,4742,"4742 Pram",2,"Rot","2024-07-06 12:01:00",1720267260,0,"used",0,0,4742,48.2336982186949,13.5999415195048,3,36,67,0,5.91350300563827,0.382165605095541,"Rot","used"
"Woom 4 20zoll","3441 Judenau","Zuletzt geändert:,06.07.2024, 11:17 Uhr","€ 500","Privatperson","Grün,Neuwertig,Selbstabholung","Insgesamt geschätzt 20mal gefahren. Sehr gut erhalten, kein Kratzer ..in der Garage gehalten.. neuwertig. Mit alles was man am Bild sehen kann.. Ständer, Träger, Schutzbleche, Klingel..","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-20zoll-1753207584/",22,500,3441,"3441 Judenau",4,"Grün","2024-07-06 11:17:00",1720264620,0,"as good as new",0,0,3441,48.2814842706149,16.0327246656212,6,205,188,0,6.21460809842219,0.0946372239747634,"Grün","as good as new"
"Woom 3 (blau)","6402 Hatting","Zuletzt geändert:,06.07.2024, 09:46 Uhr","€ 350","Privatperson","Kettenschaltung,Felgenbremse,bis 35 cm,bis 16 Zoll,Blau,Gebraucht,Selbstabholung","16 Zoll, wenig gefahren, sehr guter Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-2036237165/",31,350,6402,"6402 Hatting",3,"Blau","2024-07-06 09:46:00",1720259160,0,"used",0,0,6402,47.2778040244206,11.1683985838519,2,6,37,0,5.85793315448346,0.983606557377049,"Blau","used"
"Woom 3","Mattersburg, Burgenland","Zuletzt geändert:,06.07.2024, 09:24 Uhr","€ 345","","Kettenschaltung,Felgenbremse,bis 35 cm,Rot,Gebraucht,Selbstabholung","Sehr guter Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1527569629/",33,345,NA,"Mattersburg",3,"Rot","2024-07-06 09:24:00",1720257840,0,"used",0,1,7210,47.7343579,16.4111436717399,5,22,306,0,5.84354441703136,0.157894736842105,"Rot","used"
"Woom 3 Kinderfahrrad","1100 Wien, 10. Bezirk, Favoriten","Zuletzt geändert:,06.07.2024, 13:33 Uhr","€ 250","Privatperson","Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-1386272421/",35,250,1100,"1100 Wien",3,"Grün","2024-07-06 13:33:00",1720272780,0,"used",0,0,1100,48.1760137,16.3687822,126,143,175,0,5.52146091786225,0.0493015612161052,"Grün","used"
"Woom 6 in blau (inkl. Lieferung)","1230 Wien, 23. Bezirk, Liesing","Zuletzt geändert:,06.07.2024, 08:46 Uhr","€ 399","Privatperson","Blau,Gebraucht,Selbstabholung","Ich verkaufe unser Woom 6 Rad, welches bei den Großeltern stand und daher auch wenig verwendet wurde.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-in-blau-inkl-lieferung-1038503712/",39,399,1230,"1230 Wien",6,"Blau","2024-07-06 08:46:00",1720255560,0,"used",0,0,1230,48.1393523,16.3048854,87,173,182,1,5.98896141688986,0.0571428571428571,"Blau","used"
"Woom 5 Kinderfahrrad 24 Zoll Rot - Sehr guter Zustand mit viel Zubehör!","Vöcklabruck, Oberösterreich","Zuletzt geändert:,05.07.2024, 21:49 Uhr","€ 495","","Kettenschaltung,Felgenbremse,24 Zoll,Rot,Gebraucht,Selbstabholung","Hallo.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-kinderfahrrad-24-zoll-rot-sehr-guter-zustand-mit-viel-zubehoer-1992618695/",45,495,NA,"Vöcklabruck",5,"Rot","2024-07-05 21:49:00",1720216140,0,"used",0,1,4840,48.0198599,13.649025,5,23,69,0,6.20455776256869,0.413793103448276,"Rot","used"
"Woom 4 Kinderfahrrad","6130 Schwaz","Zuletzt geändert:,05.07.2024, 21:34 Uhr","€ 400","Privatperson","Rot,Gebraucht,Selbstabholung","Sehr guter Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-kinderfahrrad-2073435844/",49,400,6130,"6130 Schwaz",4,"Rot","2024-07-05 21:34:00",1720215240,0,"used",0,0,6130,47.3468931632188,11.7135637986357,2,10,33,0,5.99146454710798,0.923076923076923,"Rot","used"
"Woom 3 automagic (2 Stück 1x rot & 1x blau)","Reutte, Tirol","Zuletzt geändert:,05.07.2024, 20:54 Uhr","€ 479","","bis 16 Zoll,Mehrfarbig,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-automagic-2-stueck-1x-rot-1x-blau-1821927946/",50,479,NA,"Reutte",3,"Andere","2024-07-05 20:54:00",1720212840,0,"as good as new",0,1,6600,47.48062275,10.7178360148101,0,6,12,1,6.17170059741091,2.5,"Andere","as good as new"
"Kinderfahrrad Woom 2","Salzburg","Zuletzt geändert:,05.07.2024, 20:16 Uhr","€ 320","","Violett,Gebraucht,Selbstabholung","Verkaufen Woom 2 in sehr guten Zustand.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-woom-2-2006820619/",51,320,NA,"Salzburg",2,"Violett","2024-07-05 20:16:00",1720210560,0,"used",0,1,5010,47.79786515,13.04881545,2,16,79,0,5.76832099579377,0.487804878048781,"Violett","used"
