"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i","zip_code_result","latitude","longitude","AnzahlSameSizeRadius0To10_i","AnzahlSameSizeRadius10To30_i","AnzahlSameSizeRadius30To60_i","hasPsychologicalPricing_i","log_price","logistic_costs","color","condition"
"Woom 3","5600 Einöden","Zuletzt geändert:,05.07.2024, 20:11 Uhr","€ 300","Privatperson","bis 16 Zoll,Blau,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1753159362/",991,300,5600,"5600 Einöden",3,"Blau","2024-07-05 20:11:00",1720210260,0,"as good as new",0,0,5600,47.352248028262,13.2084515070163,2,14,26,0,5.7037824746562,0.909090909090909,"Blau","as good as new"
"Woom 3","1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus","Zuletzt geändert:,13.06.2024, 14:45 Uhr","€ 360","Privatperson","Blau,Gebraucht,Selbstabholung","Im sehr guten Zustand befindet sich das Fahrrad.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1853974569/",992,360,1150,"1150 Wien",3,"Blau","2024-06-13 14:45:00",1718289900,0,"used",0,0,1150,48.1947304374963,16.3272146894668,144,134,181,0,5.88610403145016,0.0456968773800457,"Blau","used"
"Woom 4 inklusive Leggi Ständer Sunny Yellow/ Sonnengelb","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,18.06.2024, 09:29 Uhr","€ 450","","20 Zoll,Gelb,Gebraucht,Selbstabholung","Sehr gepflegt. Ohne Mängel.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-inklusive-leggi-staender-sunny-yellow-sonnengelb-940739017/",995,450,NA,"Bruck an der Leitha",4,"Gelb","2024-06-18 09:29:00",1718702940,0,"used",0,1,2460,48.01475175,16.7755597565265,15,14,321,0,6.10924758276437,0.136674259681093,"Gelb","used"
"Woom 4 - Kinderfahrrad - gelb","1020 Wien, 02. Bezirk, Leopoldstadt","Zuletzt geändert:,04.07.2024, 21:24 Uhr","€ 450","Privatperson","20 Zoll,Gelb,Gebraucht,Selbstabholung, Versand","Sehr gut erhaltenes Woom (sunny Yellow) aus erster Hand zu verkaufen. Das Fahrrad wurde ca. 1 Jahr gefahren und weist die üblichen Gebrauchsspuren auf. Da meine Tochter auf ein 5er woom umsteigt, verkaufen wir ihr geliebtes altes. Das Fahrrad ist sehr leicht und daher besonders angenehm für Kinder im Alter zwischen 5-8 Jahre geeignet. Service im Fahrradgeschäft vor 1,5 Monaten gemacht - Top Zustand.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-kinderfahrrad-gelb-2081518068/",996,450,1020,"1020 Wien",4,"Gelb","2024-07-04 21:24:00",1720128240,0,"used",1,0,1020,48.20642055,16.4327785094205,123,177,128,0,6.10924758276437,0.0491803278688525,"Gelb","used"
"Woom 3 Lila Kinderfahrrad","Gänserndorf, Niederösterreich","Zuletzt geändert:,13.06.2024, 11:49 Uhr","€ 360","","Scheibenbremse,Violett,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-lila-kinderfahrrad-1530323535/",999,360,NA,"Gänserndorf",3,"Violett","2024-06-13 11:49:00",1718279340,0,"used",0,1,2230,48.33924225064,16.7257945408338,0,148,220,0,5.88610403145016,0.116279069767442,"Violett","used"
"Woom 3","1130 Wien, 13. Bezirk, Hietzing","Zuletzt geändert:,13.06.2024, 07:08 Uhr","€ 300","Privatperson","Gelb,Gebraucht,Selbstabholung, Versand","immer trocken  gelagertes WOOM 3 (16 Zoll) zu verkaufen.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-2052863287/",1000,300,1130,"1130 Wien",3,"Gelb","2024-06-13 07:08:00",1718262480,0,"used",1,0,1130,48.17303285,16.278363207384,81,200,175,0,5.7037824746562,0.056550424128181,"Gelb","used"
"Boom nimm ein Woom 3 ( Ferrarirot )","Baden, Niederösterreich","Zuletzt geändert:,13.06.2024, 07:21 Uhr","€ 333","","Rot,Gebraucht,Selbstabholung","Das superleichte und innovative Allround-Kinderfahrrad in 16 Zoll für Kinder ab vier Jahren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/boom-nimm-ein-woom-3-ferrarirot-1978167616/",1001,333,NA,"Baden",3,"Rot","2024-06-13 07:21:00",1718263260,0,"used",0,1,2500,48.0034250347127,16.2318055893066,28,134,250,0,5.80814248998044,0.087463556851312,"Rot","used"
"Woom 3 Blau","Baden, Niederösterreich","Zuletzt geändert:,12.06.2024, 13:38 Uhr","€ 320","","Blau,Gebraucht,Selbstabholung","Gekauft 2021","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-1706208932/",1009,320,NA,"Baden",3,"Blau","2024-06-12 13:38:00",1718199480,0,"used",0,1,2500,48.0034250347127,16.2318055893066,28,134,250,0,5.76832099579377,0.087463556851312,"Blau","used"
"Woom 3 gelb","Schwaz, Tirol","Zuletzt geändert:,12.06.2024, 09:59 Uhr","€ 320","","Kettenschaltung,Felgenbremse,Gelb,Gebraucht,Selbstabholung, Versand","Selten gefahrenes, gelbes Woom 3 Fahrrad (Erstbesitzer).","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gelb-1079511859/",1010,320,NA,"Schwaz",3,"Gelb","2024-06-12 09:59:00",1718186340,0,"used",1,1,6130,47.3468931632188,11.7135637986357,2,10,33,0,5.76832099579377,0.923076923076923,"Gelb","used"
"Woom 3","Weiz, Steiermark","Zuletzt geändert:,12.06.2024, 09:05 Uhr","€ 320","","Violett,Gebraucht,Selbstabholung","Unser woom 3 darf weiter wandern und seiner neuen Besitzerin viel Freude bereiten.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1603608724/",1012,320,NA,"Weiz",3,"Violett","2024-06-12 09:05:00",1718183100,0,"used",0,1,8160,47.2086261,15.6534885454484,0,30,40,0,5.76832099579377,0.6,"Violett","used"
"Woom 4 grün mit Seitenständer, Getränkehalter, Klingel und Schutzblech .","1220 Wien, 22. Bezirk, Donaustadt","Zuletzt geändert:,12.06.2024, 09:40 Uhr","€ 480","Privatperson","Kettenschaltung,Felgenbremse,bis 35 cm,20 Zoll,Grün,Gebraucht,Selbstabholung","Woom Bike","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-gruen-mit-seitenstaender-getraenkehalter-klingel-und-schutzblech-1049632985/",1014,480,1220,"1220 Wien",4,"Grün","2024-06-12 09:40:00",1718185200,0,"used",0,0,1220,48.2152329,16.4840611,97,164,158,0,6.17378610390194,0.0561797752808989,"Grün","used"
"Woom 3 purple haze aus Erstbesitz","1100 Wien, 10. Bezirk, Favoriten","Zuletzt geändert:,12.06.2024, 06:26 Uhr","€ 340","Privatperson","Felgenbremse,bis 16 Zoll,Violett,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-purple-haze-aus-erstbesitz-1919540188/",1015,340,1100,"1100 Wien",3,"Violett","2024-06-12 06:26:00",1718173560,0,"used",0,0,1100,48.1760137,16.3687822,126,143,175,0,5.82894561761021,0.0493015612161052,"Violett","used"
"Woom 3","8045 Weinitzen","Zuletzt geändert:,12.06.2024, 07:14 Uhr","€ 380","Privatperson","bis 16 Zoll,Violett,Neuwertig,Selbstabholung","Verkaufen unser Woom 3 wegen Umstieg auf ein grösseres Modell. Erstbeszitz, sehr gepflegter Zustand, von einem Kind für eine Saison gefahren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1789871774/",1016,380,8045,"8045 Weinitzen",3,"Violett","2024-06-12 07:14:00",1718176440,0,"as good as new",0,0,8045,47.0973284,15.4219692,16,30,38,0,5.94017125272043,0.309278350515464,"Violett","as good as new"
"Woom 3","Oberpullendorf, Burgenland","Zuletzt geändert:,12.06.2024, 09:01 Uhr","€ 380","","Rot,Gebraucht,Selbstabholung","Woom Gr 3 in rot wegen Umstieg auf größeres Fahrrad zu verkaufen","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1331076071/",1017,380,NA,"Oberpullendorf",3,"Rot","2024-06-12 09:01:00",1718182860,0,"used",0,1,7350,47.5018805943208,16.5104727560442,0,14,77,0,5.94017125272043,0.571428571428571,"Rot","used"
"Woom 3 in blau","Schwaz, Tirol","Zuletzt geändert:,28.06.2024, 21:39 Uhr","€ 300","","Blau,Gebraucht,Selbstabholung","Verkaufen unser Woom 3 wegen Umstieg auf nächste Größen, Gebrauchsspuren wie bei Kinderfahrrad zu erwarten, Erstbesitz.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-in-blau-773281382/",1018,300,NA,"Schwaz",3,"Blau","2024-06-28 21:39:00",1719610740,0,"used",0,1,6130,47.3468931632188,11.7135637986357,2,10,33,0,5.7037824746562,0.923076923076923,"Blau","used"
"Woom 3 mit Ständer und Gepäckträger","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,12.06.2024, 05:43 Uhr","€ 388","","Tretlagerschaltung,Felgenbremse,47 cm,bis 16 Zoll,Violett,Gebraucht,Selbstabholung, Versand","Das Woom 3 Fahrrad meiner Tochter ist bereits für das nächste Mädchen","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-mit-staender-und-gepaecktraeger-1103744724/",1019,388,NA,"Bruck an der Leitha",3,"Violett","2024-06-12 05:43:00",1718170980,0,"used",1,1,2460,48.01475175,16.7755597565265,15,14,321,0,5.96100533962327,0.136674259681093,"Violett","used"
"Woom 3 in rot inkl. Ständer","Mistelbach, Niederösterreich","Zuletzt geändert:,11.06.2024, 21:58 Uhr","€ 360","","Felgenbremse,Rot,Gebraucht,Selbstabholung, Versand","Verkaufe ein Woom 3 Kinderfahrrad in der Farbe rot. Das Fahrrad ist in einem sehr guten Zustand und funktioniert einwandfrei. Natürlich weißt es leichte Gebrauchsspuren, ist ja schließlich von einem Kind benutzt worden. (siehe Fotos) Dennoch ist das Rad quasi neuwertig.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-in-rot-inkl-staender-1540791325/",1021,360,NA,"Mistelbach",3,"Rot","2024-06-11 21:58:00",1718143080,0,"used",1,1,2130,48.5451241,16.5344475827696,0,63,239,0,5.88610403145016,0.164383561643836,"Rot","used"
"Woom 3 Kinderfahrrad rot","1130 Wien, 13. Bezirk, Hietzing","Zuletzt geändert:,16.06.2024, 19:11 Uhr","€ 320","Privatperson","26 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-rot-1577719549/",1025,320,1130,"1130 Wien",3,"Rot","2024-06-16 19:11:00",1718565060,0,"used",0,0,1130,48.17303285,16.278363207384,81,200,175,0,5.76832099579377,0.056550424128181,"Rot","used"
"Woom 3","8010 Geidorf","Zuletzt geändert:,11.06.2024, 14:46 Uhr","€ 340","Privatperson","Gelb,Gebraucht,Selbstabholung","Woom 3 mit original Gepäckträger, Glocke und Fahrradständer. Ein Fahrradschloss gibt es gratis dazu:)","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1842955719/",1028,340,8010,"8010 Geidorf",3,"Gelb","2024-06-11 14:46:00",1718117160,0,"used",0,0,8010,47.07213787521,15.4531645759067,11,30,39,0,5.82894561761021,0.363636363636364,"Gelb","used"
"Woom 3 Kinderfahrrad","Horn, Niederösterreich","Zuletzt geändert:,14.06.2024, 14:36 Uhr","€ 340","","Felgenbremse,20 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-1527003492/",1029,340,NA,"Horn",3,"Rot","2024-06-14 14:36:00",1718375760,0,"used",0,1,3580,48.64350455,15.6504490859612,1,7,63,0,5.82894561761021,0.72289156626506,"Rot","used"
"WOOM 3 Kinderfahrrad","Wolfsberg, Kärnten","Zuletzt geändert:,04.07.2024, 09:14 Uhr","€ 320","","Gelb,Neuwertig,Selbstabholung","WOOM 3 16""","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-1182875758/",1035,320,NA,"Wolfsberg",3,"Gelb","2024-07-04 09:14:00",1720084440,0,"as good as new",0,1,9400,46.8259481083877,14.843014269165,0,7,57,0,5.76832099579377,0.845070422535211,"Gelb","as good as new"
"Woom 3","8523 Deutschlandsberg","Zuletzt geändert:,11.06.2024, 09:17 Uhr","€ 390","Privatperson","Blau,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1665320623/",1036,390,8523,"8523 Deutschlandsberg",3,"Blau","2024-06-11 09:17:00",1718097420,0,"as good as new",0,0,8523,46.8219221,15.2535015666074,4,24,51,1,5.96614673912369,0.48780487804878,"Blau","as good as new"
"WOOM Original 2 red (Das superleichte und innovative Allround-Kinderfahrrad in 14 Zoll)","2640 Prigglitz","Zuletzt geändert:,11.06.2024, 07:07 Uhr","€ 340","Privatperson","Felgenbremse,bis 16 Zoll,Rot,Neuwertig,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-2-red-das-superleichte-und-innovative-allround-kinderfahrrad-in-14-zoll-851672965/",1039,340,2640,"2640 Prigglitz",2,"Rot","2024-06-11 07:07:00",1718089620,0,"as good as new",1,0,2640,47.6762274836243,15.9363368730114,2,12,147,0,5.82894561761021,0.327868852459016,"Rot","as good as new"
"Woom 3","7011 Siegendorf","Zuletzt geändert:,11.06.2024, 02:00 Uhr","€ 350","Privatperson","Blau,Gebraucht,Selbstabholung","Woom 3, blau","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1167009709/",1047,350,7011,"7011 Siegendorf",3,"Blau","2024-06-11 02:00:00",1718071200,0,"used",0,0,7011,47.7658462652053,16.5167883545811,14,13,317,0,5.85793315448346,0.140515222482436,"Blau","used"
"Woom 3","Gänserndorf, Niederösterreich","Zuletzt geändert:,10.06.2024, 13:44 Uhr","€ 300","","bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Rotes Woom 3 Fahrrad zu verkaufen.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1895990691/",1051,300,NA,"Gänserndorf",3,"Rot","2024-06-10 13:44:00",1718027040,0,"used",0,1,2230,48.33924225064,16.7257945408338,0,148,220,0,5.7037824746562,0.116279069767442,"Rot","used"
"Woom 4 supra, Sonderedition","Mödling, Niederösterreich","Zuletzt geändert:,10.06.2024, 08:02 Uhr","€ 450","","Schwarz,Gebraucht,Selbstabholung","Gebrauchsspuren- Kratzer, Ständer vorhanden, Glocke vorhanden","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-supra-sonderedition-1346049312/",1057,450,NA,"Mödling",4,"Andere","2024-06-10 08:02:00",1718006520,0,"used",0,1,2340,48.0830407148611,16.2908222993186,57,178,202,0,6.10924758276437,0.0666666666666667,"Andere","used"
"Woom 3 Kinderfahrrad","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,10.06.2024, 07:10 Uhr","€ 395","","Tretlagerschaltung,Felgenbremse,54 cm,bis 16 Zoll,Violett,Neuwertig,Selbstabholung","Sehr schönes Kinderfahrrad von Woom  in der Größe Woom 3 in einen sehr guten Zustand der kaum gefahren inklusive originalen Gepäckträger keine Garantie keine Gewährleistung kein Umtausch keine Rückgabe","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-1509712330/",1061,395,NA,"Bruck an der Leitha",3,"Violett","2024-06-10 07:10:00",1718003400,0,"as good as new",0,1,2460,48.01475175,16.7755597565265,15,14,321,0,5.97888576490112,0.136674259681093,"Violett","as good as new"
"(reserviert) Woom 3","Oberpullendorf, Burgenland","Zuletzt geändert:,26.06.2024, 11:30 Uhr","€ 350","","Gelb,Gebraucht,Selbstabholung","Whoom Bike zu verkaufen. Gummi bei den Griffen wurden erneuert. Nur Selbstabholung.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1279908255/",1062,350,NA,"Oberpullendorf",3,"Gelb","2024-06-26 11:30:00",1719401400,0,"used",0,1,7350,47.5018805943208,16.5104727560442,0,14,77,0,5.85793315448346,0.571428571428571,"Gelb","used"
"Woom 1 Plus","Melk, Niederösterreich","Zuletzt geändert:,10.06.2024, 06:01 Uhr","€ 190","","Rot,Gebraucht,Selbstabholung, Versand","Woom 1 Plus in Rot mit Trittbrett","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-1-plus-995183459/",1064,190,NA,"Melk",1,"Rot","2024-06-10 06:01:00",1717999260,0,"used",1,1,3390,48.2229369236241,15.3358860448023,0,13,71,1,5.24702407216049,0.618556701030928,"Rot","used"
"Woom 6 zu verkaufen","Liezen, Steiermark","Zuletzt geändert:,10.06.2024, 02:00 Uhr","€ 400","","Grün,Gebraucht,Selbstabholung","Sehr gepflegt, 2 Jahre alt Tel","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-zu-verkaufen-2065247697/",1066,400,NA,"Liezen",6,"Grün","2024-06-10 02:00:00",1717984800,0,"used",0,1,8940,47.5640945,14.2380409625563,0,2,36,0,5.99146454710798,1.5,"Grün","used"
"Woom 3 aus Erstbesitz inkl. Ständer, Kettenschutz, Reflektoren, Korb","1220 Wien, 22. Bezirk, Donaustadt","Zuletzt geändert:,10.06.2024, 00:03 Uhr","€ 390","Privatperson","bis 16 Zoll,Violett,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-aus-erstbesitz-inkl-staender-kettenschutz-reflektoren-korb-2052707314/",1068,390,1220,"1220 Wien",3,"Violett","2024-06-10 00:03:00",1717977780,0,"used",0,0,1220,48.2152329,16.4840611,97,164,158,1,5.96614673912369,0.0561797752808989,"Violett","used"
"Woom 3","Mistelbach, Niederösterreich","Zuletzt geändert:,18.06.2024, 09:16 Uhr","€ 340","","Kettenschaltung,Felgenbremse,48 cm,bis 16 Zoll,Rot,Gebraucht,Selbstabholung, Versand","Größe:","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1355377643/",1075,340,NA,"Mistelbach",3,"Rot","2024-06-18 09:16:00",1718702160,0,"used",1,1,2130,48.5451241,16.5344475827696,0,63,239,0,5.82894561761021,0.164383561643836,"Rot","used"
"Woom 3 Kinderfahrrad","1220 Wien, 22. Bezirk, Donaustadt","Zuletzt geändert:,09.06.2024, 16:56 Uhr","€ 350","Privatperson","bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Verkaufe ein Woom 3 Kinderfahrrad in gutem Zustand (normale Gebrauchsspuren) inklusive Klingel und original Seitenständer.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-976966830/",1082,350,1220,"1220 Wien",3,"Rot","2024-06-09 16:56:00",1717952160,0,"used",0,0,1220,48.2152329,16.4840611,97,164,158,0,5.85793315448346,0.0561797752808989,"Rot","used"
"Woom 4","5760 Saalfelden am Steinernen Meer","Zuletzt geändert:,09.06.2024, 16:58 Uhr","€ 340","Privatperson","Kettenschaltung,Felgenbremse,20 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-914758383/",1083,340,5760,"5760 Saalfelden am Steinernen Meer",4,"Grün","2024-06-09 16:58:00",1717952280,0,"used",0,0,5760,47.4179488382819,12.8342668985792,1,17,45,0,5.82894561761021,0.705882352941177,"Grün","used"
"Woom 4","Baden, Niederösterreich","Zuletzt geändert:,16.06.2024, 11:42 Uhr","€ 390","","Kettenschaltung,Felgenbremse,20 Zoll,Blau,Gebraucht,Selbstabholung","Verkaufen unser gut erhaltenes Woom 4 inkl. Ständer und Flaschenhalterung.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-2088290026/",1084,390,NA,"Baden",4,"Blau","2024-06-16 11:42:00",1718538120,0,"used",0,1,2500,48.0034250347127,16.2318055893066,28,134,250,1,5.96614673912369,0.087463556851312,"Blau","used"
"Woom 4","3944 Pürbach","Zuletzt geändert:,09.06.2024, 14:57 Uhr","€ 450","Privatperson","Kettenschaltung,Felgenbremse,20 Zoll,Violett,Gebraucht,Selbstabholung","Sehr guter Zustand, einzig der rechte Lenker ist kinderfahrradtypisch leicht angeschlagen. Sehr sauber, 8 Gänge","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-1397784442/",1087,450,3944,"3944 Pürbach",4,"Violett","2024-06-09 14:57:00",1717945020,0,"used",0,0,3944,48.7633897293103,15.0884642775862,0,9,20,0,6.10924758276437,1.57894736842105,"Violett","used"
"Woom 3 Fahrrad","Baden, Niederösterreich","Zuletzt geändert:,09.06.2024, 13:09 Uhr","€ 350","","Kettenschaltung,Felgenbremse,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-fahrrad-932303799/",1091,350,NA,"Baden",3,"Rot","2024-06-09 13:09:00",1717938540,0,"used",0,1,2500,48.0034250347127,16.2318055893066,28,134,250,0,5.85793315448346,0.087463556851312,"Rot","used"
"Woom 3 Kinderfahrrad Erstbesitz!","3512 Mautern an der Donau","Zuletzt geändert:,30.06.2024, 06:22 Uhr","€ 380","Privatperson","Violett,Gebraucht,Selbstabholung","Verkaufen woom 3 Fahrrad, in sehr guten Zustand!","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-erstbesitz-1508358371/",1097,380,3512,"3512 Mautern an der Donau",3,"Violett","2024-06-30 06:22:00",1719728520,0,"used",0,0,3512,48.343733,15.4879651,0,20,85,0,5.94017125272043,0.48,"Violett","used"
"Woom 3 sunny yellow","Baden, Niederösterreich","Zuletzt geändert:,13.06.2024, 07:10 Uhr","€ 305","","bis 16 Zoll,Gelb,Gebraucht,Selbstabholung","Woom 3 in sehr gutem gebrauchtem Zustand, unser Kind ist auf die nächste Größe umgestiegen","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-sunny-yellow-1600824392/",1098,305,NA,"Baden",3,"Gelb","2024-06-13 07:10:00",1718262600,0,"used",0,1,2500,48.0034250347127,16.2318055893066,28,134,250,0,5.72031177660741,0.087463556851312,"Gelb","used"
"Kinderfahrrad Woom 3","6500 Landeck","Zuletzt geändert:,08.06.2024, 16:41 Uhr","€ 350","Privatperson","Grün,Gebraucht,Selbstabholung, Versand","Verkaufen Kinderfahrrad Woom 3 in grün (16 Zoll). Gut erhalten, normale Gebrauchsspuren vorhanden. Inklusive Ständer und orginal Woom-Klingel. Neupreis 449€!","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-woom-3-1013880397/",1102,350,6500,"6500 Landeck",3,"Grün","2024-06-08 16:41:00",1717864860,0,"used",1,0,6500,47.1401212552981,10.5656003787796,1,6,14,0,5.85793315448346,1.875,"Grün","used"
"Woom 3 blau","1020 Wien, 02. Bezirk, Leopoldstadt","Zuletzt geändert:,08.06.2024, 12:29 Uhr","€ 390","Privatperson","bis 16 Zoll,Blau,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-2055998365/",1111,390,1020,"1020 Wien",3,"Blau","2024-06-08 12:29:00",1717849740,0,"used",0,0,1020,48.20642055,16.4327785094205,123,177,128,1,5.96614673912369,0.0491803278688525,"Blau","used"
"Woom 2","Vöcklabruck, Oberösterreich","Zuletzt geändert:,05.07.2024, 21:34 Uhr","€ 345","","Rot,Gebraucht,Selbstabholung","Verkaufe Woom 2 - Farbe rot - normale Gebrauchsspuren an den Lenkern, neues Bremsseil- neuer Lenkeinschlagbegrenzer, Service gemacht.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1610036858/",1121,345,NA,"Vöcklabruck",2,"Rot","2024-07-05 21:34:00",1720215240,0,"used",0,1,4840,48.0198599,13.649025,5,23,69,0,5.84354441703136,0.413793103448276,"Rot","used"
"Woom 3","Baden, Niederösterreich","Zuletzt geändert:,07.06.2024, 11:16 Uhr","€ 290","","Felgenbremse,bis 16 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-2028610460/",1124,290,NA,"Baden",3,"Grün","2024-06-07 11:16:00",1717758960,0,"used",0,1,2500,48.0034250347127,16.2318055893066,28,134,250,1,5.66988092298052,0.087463556851312,"Grün","used"
"(reserviert) Woom 2 in blau + Fahrradständer","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,06.07.2024, 15:10 Uhr","€ 290","","Blau,Gebraucht,Selbstabholung","Geben unser gern genutztes 2er Woom Rad her. Dabei ist ein Original Seitenständer montiert.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-in-blau-fahrradstaender-853561689/",1126,290,NA,"Bruck an der Leitha",2,"Blau","2024-07-06 15:10:00",1720278600,0,"used",0,1,2460,48.01475175,16.7755597565265,15,14,321,1,5.66988092298052,0.136674259681093,"Blau","used"
"Woom 3 Kinderfahrrad","Baden, Niederösterreich","Zuletzt geändert:,06.07.2024, 09:13 Uhr","€ 360","","Felgenbremse,bis 16 Zoll,Blau,Gebraucht,Selbstabholung","In gutem Zustand, inklusive Ständer.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-1272638746/",1129,360,NA,"Baden",3,"Blau","2024-07-06 09:13:00",1720257180,0,"used",0,1,2500,48.0034250347127,16.2318055893066,28,134,250,0,5.88610403145016,0.087463556851312,"Blau","used"
"Woom 3","6800 Feldkirch","Zuletzt geändert:,06.06.2024, 19:48 Uhr","€ 350","Privatperson","Felgenbremse,Violett,Gebraucht,Selbstabholung","Verkaufe ein Woom 3.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-2129787122/",1136,350,6800,"6800 Feldkirch",3,"Violett","2024-06-06 19:48:00",1717703280,0,"used",0,0,6800,47.240397,9.60289807859787,0,5,1,0,5.85793315448346,5.45454545454546,"Violett","used"
"Woom 2 Fahrrad mit Kotflügel, Ständer und Klingel","Leoben, Steiermark","Zuletzt geändert:,12.06.2024, 07:14 Uhr","€ 300","","Blau,Gebraucht,Selbstabholung","Verkaufen unser blaues Woom 2 Fahrrad mit Kotflügel, Klingel und Ständer.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-fahrrad-mit-kotfluegel-staender-und-klingel-1046269500/",1139,300,NA,"Leoben",2,"Blau","2024-06-12 07:14:00",1718176440,0,"used",0,1,8700,47.3668084,15.094635,1,4,56,0,5.7037824746562,0.857142857142857,"Blau","used"
"Woom 2 rot","8302 Nestelbach bei Graz","Zuletzt geändert:,12.06.2024, 06:55 Uhr","€ 345","Privatperson","Felgenbremse,Rot,Neuwertig,Selbstabholung","Unser kleines Woom Rad ist in eunem sehr guten Zustand. Erstbesitz.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-rot-996647226/",1141,345,8302,"8302 Nestelbach bei Graz",2,"Rot","2024-06-12 06:55:00",1718175300,0,"as good as new",0,0,8302,47.0562907311614,15.5920937721461,4,40,34,0,5.84354441703136,0.434782608695652,"Rot","as good as new"
"Woom Rad 2 Erstbesitz","1180 Wien, 18. Bezirk, Währing","Zuletzt geändert:,06.06.2024, 15:39 Uhr","€ 390","Privatperson","Rot,Neuwertig,Selbstabholung","Rad ist einem sehr guten Zustand.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-rad-2-erstbesitz-1573605074/",1142,390,1180,"1180 Wien",2,"Rot","2024-06-06 15:39:00",1717688340,0,"as good as new",0,0,1180,48.2308501342523,16.3262057036828,120,156,173,1,5.96614673912369,0.049792531120332,"Rot","as good as new"
