"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i","zip_code_result","latitude","longitude","AnzahlSameProductsRadius0To10_i","AnzahlSameProductsRadius10To30_i","AnzahlSameProductsRadius30To60_i","hasPsychologicalPricing_i","log_price","logistic_costs","color","condition"
"Woom 5 Rot","8045 Weinitzen","Zuletzt geändert:,30.06.2024, 12:53 Uhr","€ 490","Privatperson","Kettenschaltung,Felgenbremse,26 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-rot-1730114941/",380,490,8045,"8045 Weinitzen",5,"Rot","2024-06-30 12:53:00",1719751980,0,"used",0,0,8045,47.0973284,15.4219692,12,9,10,1,6.19440539110467,0.6,"Rot","used"
"(reserviert) Woom 3 gelb mit Seitenständer & Klingel","1200 Wien, 20. Bezirk, Brigittenau","Zuletzt geändert:,30.06.2024, 13:11 Uhr","€ 260","Privatperson","Tretlagerschaltung,Trommelbremse,bis 35 cm,bis 16 Zoll,Gelb,Gebraucht,Selbstabholung","Unserem Sohn ist das Fahrrad leider schon zu klein. Es ist in guten Zustand, voll funktionsfähig, allerdings hat es bereits einige Gebrauchsspuren (Gummigriffe am Lenkrad, Bremsgriffe haben leider ein paar Schürfwunden).","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gelb-mit-seitenstaender-klingel-984103845/",381,260,1200,"1200 Wien",3,"Gelb","2024-06-30 13:11:00",1719753060,0,"used",0,0,1200,48.23615775,16.3838734770906,90,41,16,0,5.56068163101553,0.0940438871473354,"Gelb","used"
"Woom 6 Lila","1230 Wien, 23. Bezirk, Liesing","Zuletzt geändert:,30.06.2024, 11:20 Uhr","€ 450","Privatperson","Felgenbremse,26 Zoll,Violett,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-lila-1559900878/",387,450,1230,"1230 Wien",6,"Violett","2024-06-30 11:20:00",1719746400,0,"used",0,0,1230,48.1393523,16.3048854,43,79,19,0,6.10924758276437,0.137931034482759,"Violett","used"
"Woom 4 Kinderfahrrad lila","1110 Wien, 11. Bezirk, Simmering","Zuletzt geändert:,30.06.2024, 08:49 Uhr","€ 450","Privatperson","Kettenschaltung,Violett,Gebraucht,Selbstabholung","Verkaufen unser Woom 4 in lila, da es schon zu klein ist.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-kinderfahrrad-lila-1950799240/",393,450,1110,"1110 Wien",4,"Violett","2024-06-30 08:49:00",1719737340,0,"used",0,0,1110,48.1696740010306,16.4252374069253,70,55,22,0,6.10924758276437,0.108695652173913,"Violett","used"
"Woom 3","4400 Steyr","Zuletzt geändert:,30.06.2024, 06:52 Uhr","€ 400","Privatperson","Felgenbremse,bis 16 Zoll,Grün,Neuwertig,Selbstabholung","Woom 3 inkl. Ständer, Klingel","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1504356041/",397,400,4400,"4400 Steyr",3,"Grün","2024-06-30 06:52:00",1719730320,0,"as good as new",0,0,4400,48.0450625964509,14.4123255911026,1,4,15,0,5.99146454710798,2.06896551724138,"Grün","as good as new"
"Woom 4 gelb NEU","1230 Wien, 23. Bezirk, Liesing","Zuletzt geändert:,29.06.2024, 23:41 Uhr","€ 500","Privatperson","20 Zoll,Gelb,Neu,Selbstabholung","Verkaufe woom 4 gelb mit viel Zubehör,das Fahrrad ist neu nur Probefahrt gemacht.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-gelb-neu-1777762205/",398,500,1230,"1230 Wien",4,"Gelb","2024-06-29 23:41:00",1719704460,0,"good",0,0,1230,48.1393523,16.3048854,43,79,19,0,6.21460809842219,0.137931034482759,"Gelb","good"
"Woom 2, neu ungeöffnet, rot","8010 Graz","Zuletzt geändert:,29.06.2024, 21:04 Uhr","€ 340","Privatperson","Rot,Neu,Selbstabholung, Versand","Neu Fahrrad in Box ungeöffnet","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-neu-ungeoeffnet-rot-1691368605/",402,340,8010,"8010 Graz",2,"Rot","2024-06-29 21:04:00",1719695040,0,"good",1,0,8010,47.07213787521,15.4531645759067,8,9,10,0,5.82894561761021,0.789473684210526,"Rot","good"
"Woom 4 Original rot mit neuem Service * Seitenständer und Spritzschutz","5111 Bürmoos","Zuletzt geändert:,05.07.2024, 14:21 Uhr","€ 429","Privatperson","Kettenschaltung,Felgenbremse,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-original-rot-mit-neuem-service-seitenstaender-und-spritzschutz-1399783476/",411,429,5111,"5111 Bürmoos",4,"Rot","2024-07-05 14:21:00",1720189260,1,"used",0,0,5111,47.9866485869279,12.9272306296223,0,6,6,1,6.06145691892802,3.33333333333333,"Rot","used"
"Woom 4 Fahrrad","9400 Wolfsberg","Zuletzt geändert:,29.06.2024, 18:25 Uhr","€ 430","Privatperson","Grün,Gebraucht,Selbstabholung","Woom 4 Fahrrad grün inkl. Seitenständer und Klingel","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-fahrrad-1662885540/",412,430,9400,"9400 Wolfsberg",4,"Grün","2024-06-29 18:25:00",1719685500,0,"used",0,0,9400,46.8259481083877,14.843014269165,0,2,32,0,6.06378520868761,1.66666666666667,"Grün","used"
"Woom 5 in Marineblau","4052 Ansfelden","Zuletzt geändert:,03.07.2024, 17:25 Uhr","€ 500","Privatperson","Blau,Gebraucht,Selbstabholung","Hallo ich verkaufe ein gebrauchtes woom 5 in Marineblau!","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-in-marineblau-1967915983/",415,500,4052,"4052 Ansfelden",5,"Blau","2024-07-03 17:25:00",1720027500,0,"used",0,0,4052,48.2196838265926,14.2918067860238,1,9,14,0,6.21460809842219,1.57894736842105,"Blau","used"
