"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i"
"Woom 3, 16"" mit Ständer, Klingel u neue woom-Flaschenhalterung","Innsbruck-Land, Tirol","Zuletzt geändert:,02.06.2024, 08:14 Uhr","€ 370","","Rot,Neuwertig,Selbstabholung, Versand","Neuwertig","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-16-mit-staender-klingel-u-neue-woom-flaschenhalterung-945358704/",1337,370,NA,"Innsbruck-Land","3","Rot",2024-06-02 08:14:00,1717316040,0,"as good as new",1,1
"Woom 3 Kinderrad, Rot, mit Ständer, Kotflügel und Kettenschutz","1140 Wien, 14. Bezirk, Penzing","Zuletzt geändert:,29.05.2024, 07:34 Uhr","€ 375","Privatperson","Felgenbremse,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderrad-rot-mit-staender-kotfluegel-und-kettenschutz-1207369909/",1338,375,"1140","1140 Wien","3","Rot",2024-05-29 07:34:00,1716968040,0,"used",0,0
"Kinderfahrrad Giant ARX 16 Zoll","","Zuletzt geändert:,30.05.2024, 17:58 Uhr","€ 220","","Rot,Gebraucht,Selbstabholung","Entspricht Grösse von Woom 3! Sitz und Lenker höhenverstellbar! Handbremse für vorne und hinten! Normale Gebrauchsspuren,! 2ter neuwertiger Reifensatz mit normalem (nicht tiefem) Profil vorhanden! Besser als Woom ;)","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-giant-arx-16-zoll-1863701936/",1339,220,NA,"",NA,"Rot",2024-05-30 17:58:00,1717091880,0,"used",0,1
"Kania Kinderbike 24' small","Mödling, Niederösterreich","Zuletzt geändert:,03.06.2024, 06:29 Uhr","€ 235","","Blau,Gebraucht,Selbstabholung","24‘ small Kinderfahrrad von Kania, Farbe blau, sehr leicht (ähnlich Woom), kindergerechte Geometrie, diverses Zubehör, geeignet ab ca 120cm Körpergröße, Probefahrt in der Nähe von Wien jederzeit möglich","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kania-kinderbike-24-small-935227732/",1340,235,NA,"Mödling",NA,"Blau",2024-06-03 06:29:00,1717396140,0,"used",0,1
"WOOM","Sankt Johann im Pongau, Salzburg","Zuletzt geändert:,11.06.2024, 19:18 Uhr","€ 395","","bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Verkauft wird hier ein sehr gepflegtes Woom 3 Fahrrad in rot.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-813274278/",1341,395,NA,"Sankt Johann im Pongau",NA,"Rot",2024-06-11 19:18:00,1718133480,0,"used",0,1
"Woom 3","Salzburg Stadt, Salzburg","Zuletzt geändert:,29.05.2024, 06:18 Uhr","€ 390","","Grün,Gebraucht,Selbstabholung","Woom 3 in grün, inklusive Ständer, Klingel und Schutzblechen. Das Fahrrad wurde keine 10 Mal benutzt, unser Sohn wollte nicht fahren. Besichtigung und Abholung in Salzburg-Itzling.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1222328814/",1342,390,NA,"Salzburg Stadt","3","Grün",2024-05-29 06:18:00,1716963480,0,"used",0,1
"Early Rider 16","Tirol","Zuletzt geändert:,21.06.2024, 15:34 Uhr","€ 240","","bis 35 cm,Grau,Gebraucht,Selbstabholung, Versand","Early Rider mit Riemenantrieb komplett funktionsfähig gebraucht","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/early-rider-16-1538327533/",1343,240,NA,"Tirol",NA,"Andere",2024-06-21 15:34:00,1718984040,0,"used",1,1
"Woom 4 Kinderfahrrad","Neusiedl am See, Burgenland","Zuletzt geändert:,28.05.2024, 19:18 Uhr","€ 390","","Kettenschaltung,Felgenbremse,Rot,Gebraucht,Selbstabholung","Mit Seitenständer","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-kinderfahrrad-2079927925/",1344,390,NA,"Neusiedl am See","4","Rot",2024-05-28 19:18:00,1716923880,0,"used",0,1
"VILU Vierundzwanzig - Kinderfahrrad -super leicht","8401 Kalsdorf bei Graz","Zuletzt geändert:,09.06.2024, 21:20 Uhr","€ 280","Privatperson","Kettenschaltung,38 cm,24 Zoll,Rosa,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/vilu-vierundzwanzig-kinderfahrrad-super-leicht-1638761252/",1345,280,"8401","8401 Kalsdorf bei Graz",NA,"Andere",2024-06-09 21:20:00,1717968000,0,"as good as new",0,0
"WOOM 3","Braunau am Inn, Oberösterreich","Zuletzt geändert:,28.05.2024, 21:12 Uhr","€ 319","","Felgenbremse,bis 16 Zoll,Gelb,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1433463568/",1346,319,NA,"Braunau am Inn","3","Gelb",2024-05-28 21:12:00,1716930720,0,"used",0,1
