title,location,last_modified,price,seller_info,details,description,item_url
Woom 4 gelb,,"Zuletzt geändert:,23.06.2024, 22:03 Uhr",€ 410,,"Gelb,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-gelb-1484063234/
Woom Original 4 lila,"Zell am See, Salzburg","Zuletzt geändert:,23.06.2024, 22:12 Uhr",€ 400,,"Kettenschaltung,Felgenbremse,20 Zoll,Violett,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-4-lila-1978126345/
(reserviert) Woom OFF 4,8733 Feistritz bei Knittelfeld,"Zuletzt geändert:,28.06.2024, 13:09 Uhr",€ 550,,"Schwarz,Gebraucht,Selbstabholung","Rad ist in super Zustand, leichte Gebrauchsspuren vorhanden. Service und Reifenwechsel wurde durchgeführt. Rad ist inkl Ständer vorhanden.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-off-4-1440098617/
Woom Rad 5,Tirol,"Zuletzt geändert:,22.06.2024, 08:41 Uhr",€ 400,,"Blau,Gebraucht,Selbstabholung",Woom Rad 5 blau inkl. Glocke  und Ständer,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-rad-5-1004205751/
Woom 4 Fahrrad,,"Zuletzt geändert:,22.06.2024, 01:18 Uhr",€ 440,,"Kettenschaltung,Felgenbremse,bis 35 cm,20 Zoll,Rot,Gebraucht,Selbstabholung",Woom 4 zum verkaufen bitte Beschreibungen im Internet nachschauen,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-fahrrad-1829815373/
"Woom 6 26""",91105 Trencin,"Zuletzt geändert:,22.06.2024, 02:00 Uhr",€ 440,Privatperson,"26 Zoll,Grün,Neuwertig,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-26-1343138313/
Woom 3 Fahrrad,"Perg, Oberösterreich","Zuletzt geändert:,22.06.2024, 06:24 Uhr",€ 330,,"bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Voll funktionsfähiges Woom 3 mit Seitenständer. Gebrauchsspuren, Original Seitenständer",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-fahrrad-1386943054/
Woom 3 Kinderfahrrad lila purple haze,6306 Söll,"Zuletzt geändert:,22.06.2024, 06:38 Uhr",€ 350,Privatperson,"bis 16 Zoll,Violett,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-lila-purple-haze-1237897467/
Woom 3,Tirol,"Zuletzt geändert:,27.06.2024, 20:30 Uhr",€ 320,,"Kettenschaltung,Felgenbremse,bis 35 cm,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Gepflegtes Woom 3 in einem sehr guten gebrauchten Zustand abzugeben, da wir rasch auf das Nächste umgestiegen sind.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1291566509/
Woom 3 blau,,"Zuletzt geändert:,19.06.2024, 09:48 Uhr",€ 333,,"Felgenbremse,Blau,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-1728889152/
Woom 3 gelb,,"Zuletzt geändert:,19.06.2024, 09:44 Uhr",€ 333,,"Felgenbremse,Gelb,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-gelb-1792229998/
Woom 2 rot,,"Zuletzt geändert:,19.06.2024, 09:44 Uhr",€ 311,,"Felgenbremse,Rot,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-rot-1600069506/
Woom 3,Steiermark,"Zuletzt geändert:,25.06.2024, 20:23 Uhr",€ 300,,"Felgenbremse,40 cm,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Verkaufe hier das Woom 3 (ohne Seitenständer) weil es zu klein geworden ist. Gekauft wirde es Ende März 23. Das Rad wurde sehr selten benutzt und stand immer unter Dach. Es gibt ein paar wenige Gebrauchsspuren am Rahmen, sonst alles in sehr gutem Zustand. Rechnung ist auch vorhanden.",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1328928139/
Woom 3,Niederösterreich,"Zuletzt geändert:,16.06.2024, 16:57 Uhr",€ 320,,"Blau,Gebraucht,Selbstabholung, Versand",Woom 3 mit Gepäckträger und Ständer zu verkaufen. In den Speichen sind „Rasselkugeln“ die aber ganz leicht auch abmontiert werden können. Gebrauchspuren siehe Fotos.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1250013767/
Woom 4 Zell am See,5751 Maishofen,"Zuletzt geändert:,16.06.2024, 15:39 Uhr",€ 420,Privatperson,"Blau,Gebraucht,Selbstabholung","Woom 4, leichte Gebrauchsspuren, 1. Eigentümer",https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-zell-am-see-1204884274/
"woom OFF 4, 20""","Sankt Pölten Land, Niederösterreich","Zuletzt geändert:,22.06.2024, 08:42 Uhr",€ 600,,"Kettenschaltung,Scheibenbremse,bis 35 cm,20 Zoll,Schwarz,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-off-4-20-1609394199/
Woom 3,"Mödling, Niederösterreich","Zuletzt geändert:,16.06.2024, 16:26 Uhr",€ 330,,"Rot,Gebraucht,Selbstabholung",Gebraucht. Abholen in 2380 oder 1010.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1255171392/
Kinderfahrrad Woom Now 4,Steiermark,"Zuletzt geändert:,16.06.2024, 16:46 Uhr",€ 450,,"Blau,Gebraucht,Selbstabholung",Woom Now 4 mit Schultaschenhalterung vorne,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinderfahrrad-woom-now-4-1445712768/
Norco Fluid FS A3 Mountainbike Fully,4810 Gmunden,"Zuletzt geändert:,14.06.2024, 14:00 Uhr",,,"Kettenschaltung,Scheibenbremse,ab 29 Zoll,Silber,Neu,Selbstabholung, Versand",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/norco-fluid-fs-a3-mountainbike-fully-713034748/
Woom 3 in Gelb,"Vöcklabruck, Oberösterreich","Zuletzt geändert:,14.06.2024, 12:19 Uhr",€ 330,,"bis 16 Zoll,Gelb,Gebraucht,Selbstabholung, Versand",Gern gefahren aber noch sehr gut in Schuss.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-in-gelb-1084363419/
"Kania ""twenty"" 20 zoll",6083 Ellbögen,"Zuletzt geändert:,29.06.2024, 15:38 Uhr",€ 230,,"Kettenschaltung,Felgenbremse,48 cm,20 Zoll,Orange,Gebraucht,Selbstabholung, Versand",Extra leichtes Kinderrad,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kania-twenty-20-zoll-1237848320/
Woom 3 (Reserviert),"Mistelbach, Niederösterreich","Zuletzt geändert:,22.06.2024, 10:33 Uhr",€ 280,,"bis 16 Zoll,Rot,Gebraucht,Selbstabholung",Woom 3 mit Ständer,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-reserviert-1496351728/
"Norco Rampage 1 26"" brown/tan Dirtbike",4810 Gmunden,"Zuletzt geändert:,14.06.2024, 14:00 Uhr",,,"Scheibenbremse,ab 29 Zoll,Gold,Neu,Selbstabholung, Versand",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/norco-rampage-1-26-brown-tan-dirtbike-713051031/
"Woom 3, sehr guter Zustand, 2023 gekauft","Graz, Steiermark","Zuletzt geändert:,23.06.2024, 19:23 Uhr",€ 370,,"Violett,Gebraucht,Selbstabholung",,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-sehr-guter-zustand-2023-gekauft-1391659266/
Woom 3,"Gänserndorf, Niederösterreich","Zuletzt geändert:,10.06.2024, 13:44 Uhr",€ 300,,"bis 16 Zoll,Rot,Gebraucht,Selbstabholung",Rotes Woom 3 Fahrrad zu verkaufen.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1895990691/
Woom 4 in gelb,"Graz-Umgebung, Steiermark","Zuletzt geändert:,10.06.2024, 17:29 Uhr",€ 420,,"Felgenbremse,20 Zoll,Gelb,Gebraucht,Selbstabholung",Das superleichte und innovative Allround-Kinderfahrrad in 20 Zoll für Kinder ab sechs Jahren mit verstellbarem Vario-Vorbau und 8-Gang-Schaltung. Normale Gebrausspuren.,https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-in-gelb-2015120242/
